"EVENTID","IDATE","IYEAR","IMONTH","IDAY","APPROXDATE","EXTENDED","RESOLUTION","COUNTRY","COUNTRY_TXT","REGION","REGION_TXT","PROVSTATE","CITY","LATITUDE","LONGITUDE","SPECIFICITY","VICINITY","LOCATION","SUMMARY","CRIT1","CRIT2","CRIT3","DOUBTTERR","ALTERNATIVE","ALTERNATIVE_TXT","MULTIPLE","SUCCESS","SUICIDE","ATTACKTYPE1","ATTACKTYPE1_TXT","ATTACKTYPE2","ATTACKTYPE2_TXT","ATTACKTYPE3","ATTACKTYPE3_TXT","TARGTYPE1","TARGTYPE1_TXT","TARGSUBTYPE1","TARGSUBTYPE1_TXT","CORP1","TARGET1","NATLTY1","NATLTY1_TXT","TARGTYPE2","TARGTYPE2_TXT","TARGSUBTYPE2","TARGSUBTYPE2_TXT","CORP2","TARGET2","NATLTY2","NATLTY2_TXT","TARGTYPE3","TARGTYPE3_TXT","TARGSUBTYPE3","TARGSUBTYPE3_TXT","CORP3","TARGET3","NATLTY3","NATLTY3_TXT","GNAME","GSUBNAME","GNAME2","GSUBNAME2","GNAME3","GSUBNAME3","MOTIVE","GUNCERTAIN1","GUNCERTAIN2","GUNCERTAIN3","INDIVIDUAL","NPERPS","NPERPCAP","CLAIMED","CLAIMMODE","CLAIMMODE_TXT","CLAIM2","CLAIMMODE2","CLAIMMODE2_TXT","CLAIM3","CLAIMMODE3","CLAIMMODE3_TXT","COMPCLAIM","WEAPTYPE1","WEAPTYPE1_TXT","WEAPSUBTYPE1","WEAPSUBTYPE1_TXT","WEAPTYPE2","WEAPTYPE2_TXT","WEAPSUBTYPE2","WEAPSUBTYPE2_TXT","WEAPTYPE3","WEAPTYPE3_TXT","WEAPSUBTYPE3","WEAPSUBTYPE3_TXT","WEAPTYPE4","WEAPTYPE4_TXT","WEAPSUBTYPE4","WEAPSUBTYPE4_TXT","WEAPDETAIL","NKILL","NKILLUS","NKILLTER","NWOUND","NWOUNDUS","NWOUNDTE","PROPERTY","PROPEXTENT","PROPEXTENT_TXT","PROPVALUE","PROPCOMMENT","ISHOSTKID","NHOSTKID","NHOSTKIDUS","NHOURS","NDAYS","DIVERT","KIDHIJCOUNTRY","RANSOM","RANSOMAMT","RANSOMAMTUS","RANSOMPAID","RANSOMPAIDUS","RANSOMNOTE","HOSTKIDOUTCOME","HOSTKIDOUTCOME_TXT","NRELEASED","ADDNOTES","SCITE1","SCITE2","SCITE3","DBSOURCE","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","RELATED"
"201401010001","2014-01-01","2014","1","1","","0","","45","Colombia","3","South America","Norte de Santander","Convencion","8.86879","-73.194094","1.0","0","Incident occurred in Campo Alegre area","01/01/2014: Assailants detonated an explosive device at an oil holding pool along the Cano Limon - Covenas pipeline in Convencion, Norte de Santander, Colombia. As a result of the blast, the pool was damaged and local residents evacuated the area. This was one of four holding pools attacked in the area on this day. No group claimed responsibility for the incident; however, sources attributed the attack to National Liberation Army of Colombia (ELN).","1","1","1","0","","","1.0","1","0","3","Bombing/Explosion","","","","","21","Utilities","108","Oil","Cano Limon-Covenas Oil Pipeline","Crude Oil Holding Pools","45","Colombia","","","","","","","","","","","","","","","","","National Liberation Army of Colombia (ELN)","","","","","","The specific motive is unknown; however, sources noted that the National Liberation Army of Colombia (ELN) had declared war against multinational oil companies in Colombia in November.","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","6","Explosives","16","Unknown Explosive Type","","","","","","","","","","","","","","0","0","0","0","0","0","1","4.0","Unknown","-99.0","A crude holding pool was damaged in this attack.","0.0","","","","","","","","","","","","","","","","","""ELN bomb Colombia oil pipeline infrastructure,"" Colombia Reports, January 2, 2014.","""Colombia Guerrilla Update: ELN Blows Up Crude Oil Pools in Convencion (Norte de Santander),"" OSC Summary, January 2, 2014.","","START Primary Collection","0","0","0","0","201401010001, 201401010055, 201401010056, 201401010057"
"201401010002","2014-01-01","2014","1","1","","0","","182","Somalia","11","Sub-Saharan Africa","Banaadir","Mogadishu","2.059818","45.326114","1.0","0","","01/01/2014: A suicide bomber detonated an explosives-laden vehicle at the Jazeera Hotel in Mogadishu city, Banaadir region, Somalia. At least four people, including civilians and assailants, were killed in the blast. This was one of three bombings at the hotel on this day; this first attack was meant to draw first responders to the scene. At least 40 other people were wounded across the two suicide incidents. Al-Shabaab claimed responsibility for the attacks.","1","1","1","0","","","1.0","1","1","3","Bombing/Explosion","","","","","1","Business","8","Hotel/Resort","Jazeera Palace Hotel","Hotel","182","Somalia","","","","","","","","","","","","","","","","","Al-Shabaab","","","","","","","0.0","","","0","2.0","0.0","1.0","7","Posted to website, blog, etc.","","","","","","","","6","Explosives","15","Vehicle","","","","","","","","","","","","","","4","0","2","20","0","0","1","3.0","Minor (likely < $1 million)","-99.0","A hotel was damaged in this attack.","0.0","","","","","","","","","","","","","","","","Casualty numbers for this attack represent an equal division of a cumulative total of killed and wounded across incidents 201401010002, 201401010039, and 201401010040. Casualty numbers for this incident conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""11 dead, 40 injured in bomb attack in Somalia,"" CNN, January 4, 2014.","""Somalia twin bombing toll rises to 11: police,"" Agence France Presse -- English, January 2, 2014.","""Somalia: Twin Suicide Attack at Mogadishu Hotel Kills 10 People,"" Mareeg Online, January 2, 2014.","START Primary Collection","0","0","0","0","201401010002, 201401010039, 201401010040"
"201401010003","2014-01-01","2014","1","1","","0","","153","Pakistan","6","South Asia","Balochistan","Quetta","30.20082","66.994352","1.0","0","The incident occurred in the Akhtarabad neighborhood of the city.","01/01/2014: A suicide bomber crashed an explosives-laden vehicle into a bus in Akhtarabad area, Quetta city, Balochistan province, Pakistan. The bus was transporting Shia pilgrims from Iran to their homes. In addition to the assailant, at least two people were killed and 31 others were injured in the blast. Jaish-e-Islam claimed responsibility for the incident, stating that the incident was carried out in revenge for an attack that occurred in Rawalpindi and for an incident in which the Quran was desecrated in Quetta.","1","1","1","0","","","0.0","1","1","3","Bombing/Explosion","","","","","14","Private Citizens & Property","69","Religion Identified","Not Applicable","Shia Pilgrims","153","Pakistan","","","","","","","","","","","","","","","","","Jaish-e-Islam","","","","","","Jaish-e-Islam claimed responsibility for the incident, stating that the incident was carried out in revenge for an attack that occurred in Rawalpindi and for an incident in which the Quran was desecrated in Quetta. Sources also speculated that the attack, which targeted Shiite pilgrims, may be part of a larger trend of sectarian violence between Pakistan's  majority Sunni and minority Shiite communities.","0.0","","","0","1.0","0.0","1.0","10","Unknown","","","","","","","","6","Explosives","15","Vehicle","","","","","","","","","","","","","","3","0","1","31","0","0","1","3.0","Minor (likely < $1 million)","-99.0","A bus was damaged in this attack.","0.0","","","","","","","","","","","","","","","","Casualty numbers for this attack conflict across sources. Following GTD protocol, the majority estimates are reported here.","""Pakistan car bombing kills Shia pilgrims,"" Al Jazeera, January 1, 2014.","""Suicide blast hits pilgrims' bus,"" Dawn (Pakistan), January 2, 2014.","""Two dead, 31 injured in bus bombing in Pakistan,"" Qatar Peninsula, January 2, 2014.","START Primary Collection","0","0","0","0",""
"201401010004","2014-01-01","2014","1","1","","0","","153","Pakistan","6","South Asia","Balochistan","Dera Bugti","29.034412","69.158662","1.0","0","Incident occurred in Chandram area","01/01/2014: A land mine was found and defused in Dera Bugti town, Balochistan province, Pakistan. No group claimed responsibility for the incident.","1","1","1","0","","","0.0","0","0","3","Bombing/Explosion","","","","","20","Unknown","","","Unknown","Unknown","153","Pakistan","","","","","","","","","","","","","","","","","Unknown","","","","","","","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","6","Explosives","8","Landmine","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","0.0","","","","","","","","","","","","","","","","","""Highlights: Pakistan Balochistan Press 2 January 2013,"" OSC Summary, January 2, 2014.","","","START Primary Collection","-9","-9","0","-9",""
"201401010005","2014-01-01","2014","1","1","","1","","182","Somalia","11","Sub-Saharan Africa","Middle Juba","Buale","1.097128","42.598368","1.0","0","","01/01/2014: Assailants abducted ten individuals who worked with foreign aid agencies in Buale city, Middle Juba region, Somalia. Three of the victims were released on January 10, 2014; the whereabouts of the other workers are unknown. No group claimed responsibility for the incident; however, sources attributed the kidnapping to Al-Shabaab.","1","1","1","0","","","0.0","1","0","6","Hostage Taking (Kidnapping)","","","","","12","NGO","62","International NGO","Unknown","Aid Workers","182","Somalia","","","","","","","","","","","","","","","","","Al-Shabaab","","","","","","","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","13","Unknown","","","","","","","","","","","","","","","","","0","0","","0","0","0","","","","","1.0","10.0","0.0","","-99.0","","","0.0","","","","","","6","Combination","3.0","","""Somalia: Al-Shabaab Militants Free Kidnapped Local Aid Workers,"" KismaayoNews, January 10, 2014.","""SOCAFRICA: Al-Shabaab Incident Tracker, 29 Dec 2013 - 1 Jan 2014,"" SOCAFRICA, December 28, 2013.","","START Primary Collection","0","0","0","0",""
"201401010007","2014-01-01","2014","1","1","","0","","95","Iraq","10","Middle East & North Africa","Nineveh","Mosul","36.354146","43.143571","1.0","0","Incident occurred in Hay Al-Zuhur area","01/01/2014: A suicide bomber detonated an explosives-laden vehicle near an army patrol in the Hay Al-Zuhur area of Mosul city, Nineveh governorate, Iraq. In addition to the assailant, one soldier was killed and six others were wounded in the attack. No group claimed responsibility for the incident.","1","1","0","1","1.0","Insurgency/Guerilla Action","0.0","1","1","3","Bombing/Explosion","","","","","4","Military","29","Military Unit/Patrol/Convoy","Iraqi Army","Patrol","95","Iraq","","","","","","","","","","","","","","","","","Unknown","","","","","","","0.0","","","0","1.0","0.0","0.0","","","","","","","","","","6","Explosives","15","Vehicle","","","","","","","","","","","","","","2","0","1","6","0","0","-9","","","","It is unknown if any property was damaged in this attack.","0.0","","","","","","","","","","","","","","","","","""1 soldier killed, 6+ wounded in Mosul,"" Aswat al-Iraq, January 1, 2014.","""Iraq: Roundup of Security Incidents 30 December 2013-06 January 2014,"" OSC Summary, January 7, 2014.","""One soldier killed and six others wounded, east of Mosul.,"" National Iraq News Agency, January 1, 2014.","START Primary Collection","-9","-9","0","-9",""
"201401010017","2014-01-01","2014","1","1","","0","","95","Iraq","10","Middle East & North Africa","Saladin","Yathrib","33.994589","44.357271","1.0","0","The incident took place in Balad district.","01/01/2014: Assailants opened fire on a military checkpoint in Yathrib city, Saladin governorate, Iraq. Two soldiers were killed and three others were wounded in the attack. No group claimed responsibility for the incident.","1","1","0","1","1.0","Insurgency/Guerilla Action","0.0","1","0","2","Armed Assault","","","","","4","Military","36","Military Checkpoint","Iraqi Armed Forces","Checkpoint","95","Iraq","","","","","","","","","","","","","","","","","Unknown","","","","","","","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","5","Firearms","5","Unknown Gun Type","","","","","","","","","","","","","","2","0","0","3","0","0","-9","","","","It is unknown if any property was damaged in this attack.","0.0","","","","","","","","","","","","","","","","","""Iraq: Roundup of Security Incidents 30 December 2013-06 January 2014,"" OSC Summary, January 7, 2014.","""Solider killed, 4 wounded south of Tikrit,"" National Iraq News Agency, January 1, 2014.","","START Primary Collection","-9","-9","0","-9",""
"201401010018","2014-01-01","2014","1","1","","0","","95","Iraq","10","Middle East & North Africa","Saladin","Tarmiyah","33.66969","44.381316","1.0","0","","01/01/2014: Assailants stormed a police station in Tarmiyah city, Saladin governorate, Iraq. Four police officers were killed and 12 others were injured in the attack. This was one of 13 attacks targeting police stations and checkpoints in Saladin on the same day. The assailants took control of the stations and checkpoints, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim fundamentalists.","1","1","1","0","","","1.0","1","0","2","Armed Assault","","","","","3","Police","22","Police Building (headquarters, station, school)","Iraqi Police Service (IPS)","Police Station","95","Iraq","","","","","","","","","","","","","","","","","Muslim extremists","","","","","","The specific motive is unknown; however, sources noted that security forces dismantled a Sunni protest camp outside Ramadi on December 30, 2013, angering members of the Sunni community. Sources also noted that a number of prisoners were freed in the attack.","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","5","Firearms","5","Unknown Gun Type","","","","","","","","","","","","","","4","0","0","12","0","0","1","3.0","Minor (likely < $1 million)","-99.0","A police headquarters was damaged in this attack.","0.0","","","","","","","","","","","","","","","","Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Iraqi police stations hit by militants,"" Columbus Dispatch, January 2, 2014.","""Sunni militants storm Iraq police stations to free prisoners,"" Reuters UK, January 1, 2014.","""Iraq: Roundup of Security Incidents 30 December 2013-06 January 2014,"" OSC Summary, January 7, 2014.","START Primary Collection","-9","-9","0","-9","201401010018, 201401010024, 201401010025, 201401010026, 201401010027, 201401010028, 201401010029, 201401010030, 201401010031, 201401010032, 201401010033, 201401010034, 201401010035"
"201401010020","2014-01-01","2014","1","1","","0","","92","India","6","South Asia","Manipur","Singjamei","24.797922","93.940517","1.0","0","","01/01/2014: An explosive device detonated in the Singjamei area, Imphal district, Manipur state, India. There were no reported casualties in the attack. This was one of two bombings within a few minutes in the area on this date. No group claimed responsibility for the incident.","1","1","1","0","","","1.0","1","0","3","Bombing/Explosion","","","","","20","Unknown","","","Unknown","Unknown","92","India","","","","","","","","","","","","","","","","","Unknown","","","","","","","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","6","Explosives","12","Remote Trigger","","","","","","","","","","","","","A remote-controlled foreign-made explosive device was used in the attack.","0","0","0","0","0","0","-9","","","","It is unknown if any property was damaged in this attack.","0.0","","","","","","","","","","","","","","","","","""Bomb blasts rock Manipur,"" The Sentinel, January 2, 2014.","""India: 2 IED Explosions Occur in Imphal West District in Manipur on 1 January; No Casualty Reported,"" The Telegraph Online, January 2, 2014.","""Bomb explosions in Imphal, police investigating,"" TruthDive, January 1, 2014.","START Primary Collection","-9","-9","0","-9","201401010020, 201401010021"
"201401010021","2014-01-01","2014","1","1","","0","","92","India","6","South Asia","Manipur","Imphal","24.797922","93.940517","1.0","0","","01/01/2014: An explosive device detonated near Manipur college in the Imphal district, Manipur state, India. There were no reported casualties in the attack. This was one of two bombings within a few minutes in the area on this date. No group claimed responsibility for the incident.","1","1","1","0","","","1.0","1","0","3","Bombing/Explosion","","","","","20","Unknown","","","Unknown","Unknown","92","India","","","","","","","","","","","","","","","","","Unknown","","","","","","","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","6","Explosives","12","Remote Trigger","","","","","","","","","","","","","A remote-controlled foreign-made explosive device was used in the attack.","0","0","0","0","0","0","-9","","","","It is unknown if any property was damaged in this attack.","0.0","","","","","","","","","","","","","","","","","""Bomb blasts rock Manipur,"" The Sentinel, January 2, 2014.","""India: 2 IED Explosions Occur in Imphal West District in Manipur on 1 January; No Casualty Reported,"" The Telegraph Online, January 2, 2014.","""Bomb explosions in Imphal, police investigating,"" TruthDive, January 1, 2014.","START Primary Collection","-9","-9","0","-9","201401010020, 201401010021"
"201401010022","2014-01-01","2014","1","1","","0","","4","Afghanistan","6","South Asia","Helmand","Unknown","31.363647","63.958611","4.0","0","","01/01/2014: Jacob M. Hess, a United States (US) soldier, was killed in Helmand province, Afghanistan. No additional information is available.","1","1","0","1","1.0","Insurgency/Guerilla Action","0.0","1","0","9","Unknown","","","","","4","Military","37","NATO","North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF)","Soldier","422","International","","","","","","","","","","","","","","","","","Unknown","","","","","","","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","13","Unknown","","","","","","","","","","","","","","","","1","1","0","0","0","0","0","","","","","0.0","","","","","","","","","","","","","","","","","""DOD Identifies Marine Casualty,"" Targeted News Service, January 2, 2014.","","","START Primary Collection","-9","-9","1","1",""
"201401010023","2014-01-01","2014","1","1","","0","","60","Egypt","10","Middle East & North Africa","Qalyubia","Shubra el-Kheima","30.135777","31.269641","1.0","0","","01/01/2014: An assailant detonated three explosive devices at a police station in Shubra el-Kheima, Qalyubia, Egypt. The assailant had been arrested for having a bag of 16 explosive devices and was being escorted to the station at the time of the blasts. Three police officers were injured in the explosions. No group claimed responsibility for the incident.","1","1","1","0","","","0.0","1","0","3","Bombing/Explosion","","","","","3","Police","22","Police Building (headquarters, station, school)","Egyptian National Police (ENP)","Police Station","60","Egypt","","","","","","","","","","","","","","","","","Unknown","","","","","","","0.0","","","0","1.0","1.0","0.0","","","","","","","","","","6","Explosives","17","Other Explosive Type","","","","","","","","","","","","","Three small roll-shaped devices containing explosive material, housed inside a plastic bag, and detonated by kicking the bag were used in the attack.","0","0","0","3","0","0","1","3.0","Minor (likely < $1 million)","-99.0","The police station was damaged by this attack.","0.0","","","","","","","","","","","","","","","","The devices detonated accidentally when the assailant kicked the bag containing them. Although the detonation was accidental, the attacker admitted that he had been planning to use the devices in clashes.","""Small IEDs explode, causing little damage,"" Daily Star Egypt, January 2, 2014.","","","START Primary Collection","-9","-9","0","-9",""
"201401010024","2014-01-01","2014","1","1","","0","","95","Iraq","10","Middle East & North Africa","Al Anbar","Fallujah","33.349159","43.784197","1.0","0","","01/01/2014: Assailants stormed police headquarters in Fallujah, Al Anbar, Iraq. No casualties were reported. This was one of 13 attacks targeting police stations and checkpoints in Al Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).","1","1","1","0","","","1.0","1","0","2","Armed Assault","","","","","3","Police","22","Police Building (headquarters, station, school)","Iraqi Police Service (IPS)","Headquarters","95","Iraq","","","","","","","","","","","","","","","","","Islamic State of Iraq and the Levant (ISIL)","","","","","","The specific motive is unknown; however, sources noted that security forces dismantled a Sunni protest camp outside Ramadi on December 30, 2013, angering members of the Sunni community. Sources also noted that a number of prisoners were freed in the attack.","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","5","Firearms","5","Unknown Gun Type","8","Incendiary","18","Arson/Fire","","","","","","","","","","0","0","0","0","0","0","1","3.0","Minor (likely < $1 million)","-99.0","A police station was damaged and weapons were stolen in this attack.","0.0","","","","","","","","","","","","","","","","","""Heavy fighting rages in Iraq's Anbar province,"" Al Jazeera, January 2, 2014.","""Xinhua: Iraq To Send Army Reinforcements To Turbulent Anbar Province: PM,"" Xinhua, January 1, 2014.","""Sunni militants storm Iraq police stations to free prisoners,"" Reuters UK, January 1, 2014.","START Primary Collection","0","1","0","1","201401010018, 201401010024, 201401010025, 201401010026, 201401010027, 201401010028, 201401010029, 201401010030, 201401010031, 201401010032, 201401010033, 201401010034, 201401010035"
"201401010025","2014-01-01","2014","1","1","","0","","95","Iraq","10","Middle East & North Africa","Al Anbar","Fallujah","33.349159","43.784197","1.0","0","Incident occurred in the Golan area","01/01/2014: Assailants stormed police station in Fallujah, Al Anbar, Iraq. The police chief was killed in the shooting. This was one of 13 attacks targeting police stations and checkpoints in Al Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).","1","1","1","0","","","1.0","1","0","2","Armed Assault","","","","","3","Police","22","Police Building (headquarters, station, school)","Iraqi Police Service (IPS)","Police Station","95","Iraq","","","","","","","","","","","","","","","","","Islamic State of Iraq and the Levant (ISIL)","","","","","","The specific motive is unknown; however, sources noted that security forces dismantled a Sunni protest camp outside Ramadi on December 30, 2013, angering members of the Sunni community. Sources also noted that a number of prisoners were freed in the attack.","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","5","Firearms","5","Unknown Gun Type","8","Incendiary","18","Arson/Fire","","","","","","","","","","1","0","0","0","0","0","1","3.0","Minor (likely < $1 million)","-99.0","A police station was damaged in this attack.","0.0","","","","","","","","","","","","","","","","","""Heavy fighting rages in Iraq's Anbar province,"" Al Jazeera, January 2, 2014.","""Xinhua: Iraq To Send Army Reinforcements To Turbulent Anbar Province: PM,"" Xinhua, January 1, 2014.","""Sunni militants storm Iraq police stations to free prisoners,"" Reuters UK, January 1, 2014.","START Primary Collection","0","1","0","1","201401010018, 201401010024, 201401010025, 201401010026, 201401010027, 201401010028, 201401010029, 201401010030, 201401010031, 201401010032, 201401010033, 201401010034, 201401010035"
"201401010026","2014-01-01","2014","1","1","","0","","95","Iraq","10","Middle East & North Africa","Al Anbar","Fallujah","33.349159","43.784197","1.0","0","","01/01/2014: Assailants stormed the Al-Sejar police station in Fallujah, Al Anbar, Iraq. This was one of 13 attacks targeting police stations and checkpoints in Al Anbar on the same day. Police officers withdrew to avoid fighting, although several were killed and injured across all attacks. The assailants took control of the stations and checkpoints, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).","1","1","1","0","","","1.0","1","0","2","Armed Assault","","","","","3","Police","22","Police Building (headquarters, station, school)","Iraqi Police Service (IPS)","Police Station","95","Iraq","","","","","","","","","","","","","","","","","Islamic State of Iraq and the Levant (ISIL)","","","","","","The specific motive is unknown; however, sources noted that security forces dismantled a Sunni protest camp outside Ramadi on December 30, 2013, angering members of the Sunni community. Sources also noted that a number of prisoners were freed in the attack.","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","5","Firearms","5","Unknown Gun Type","8","Incendiary","18","Arson/Fire","","","","","","","","","","0","0","0","0","0","0","1","3.0","Minor (likely < $1 million)","-99.0","A police station was damaged and weapons were stolen in this attack.","0.0","","","","","","","","","","","","","","","","","""Heavy fighting rages in Iraq's Anbar province,"" Al Jazeera, January 2, 2014.","""Xinhua: Iraq To Send Army Reinforcements To Turbulent Anbar Province: PM,"" Xinhua, January 1, 2014.","""Sunni militants storm Iraq police stations to free prisoners,"" Reuters UK, January 1, 2014.","START Primary Collection","0","1","0","1","201401010018, 201401010024, 201401010025, 201401010026, 201401010027, 201401010028, 201401010029, 201401010030, 201401010031, 201401010032, 201401010033, 201401010034, 201401010035"
"201401010027","2014-01-01","2014","1","1","","0","","95","Iraq","10","Middle East & North Africa","Al Anbar","Fallujah","33.349159","43.784197","1.0","0","","01/01/2014: Assailants stormed a police station in Fallujah, Al Anbar, Iraq. No casualties were reported. This was one of 13 attacks targeting police stations and checkpoints in Al Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).","1","1","1","0","","","1.0","1","0","2","Armed Assault","","","","","3","Police","22","Police Building (headquarters, station, school)","Iraqi Police Service (IPS)","Police Station","95","Iraq","","","","","","","","","","","","","","","","","Islamic State of Iraq and the Levant (ISIL)","","","","","","The specific motive is unknown; however, sources noted that security forces dismantled a Sunni protest camp outside Ramadi on December 30, 2013, angering members of the Sunni community. Sources also noted that a number of prisoners were freed in the attack.","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","5","Firearms","5","Unknown Gun Type","8","Incendiary","18","Arson/Fire","","","","","","","","","","0","0","0","0","0","0","1","3.0","Minor (likely < $1 million)","-99.0","A police station was damaged and weapons were stolen in this attack.","0.0","","","","","","","","","","","","","","","","","""Heavy fighting rages in Iraq's Anbar province,"" Al Jazeera, January 2, 2014.","""Xinhua: Iraq To Send Army Reinforcements To Turbulent Anbar Province: PM,"" Xinhua, January 1, 2014.","""Sunni militants storm Iraq police stations to free prisoners,"" Reuters UK, January 1, 2014.","START Primary Collection","0","1","0","1","201401010018, 201401010024, 201401010025, 201401010026, 201401010027, 201401010028, 201401010029, 201401010030, 201401010031, 201401010032, 201401010033, 201401010034, 201401010035"
"201401010028","2014-01-01","2014","1","1","","0","","95","Iraq","10","Middle East & North Africa","Al Anbar","Fallujah","33.349159","43.784197","1.0","0","","01/01/2014: Assailants stormed a government building in Fallujah, Al Anbar, Iraq. The assailants took control of the building, placing snipers on the roof to keep security forces away from a nearby police station under siege. No casualties were reported. This was one of 13 attacks targeting police stations and checkpoints in Al Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).","1","1","1","0","","","1.0","1","0","2","Armed Assault","","","","","2","Government (General)","21","Government Building/Facility/Office","Government of Fallujah","Building","95","Iraq","","","","","","","","","","","","","","","","","Islamic State of Iraq and the Levant (ISIL)","","","","","","The specific motive is unknown; however, sources noted that security forces dismantled a Sunni protest camp outside Ramadi on December 30, 2013, angering members of the Sunni community. Sources also noted that a number of prisoners were freed in the attack.","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","5","Firearms","5","Unknown Gun Type","","","","","","","","","","","","","","0","0","0","0","0","0","-9","","","","It is unknown if any property was damaged in this attack.","0.0","","","","","","","","","","","","","","","","","""Sunni militants storm Iraq police stations to free prisoners,"" Reuters UK, January 1, 2014.","","","START Primary Collection","0","1","0","1","201401010018, 201401010024, 201401010025, 201401010026, 201401010027, 201401010028, 201401010029, 201401010030, 201401010031, 201401010032, 201401010033, 201401010034, 201401010035"
"201401010029","2014-01-01","2014","1","1","","0","","95","Iraq","10","Middle East & North Africa","Al Anbar","Ramadi","33.420949","43.295662","1.0","0","","01/01/2014: Assailants stormed a police station in Ramadi, Al Anbar, Iraq. There were no reported casualties in the attack. This was one of 13 attacks targeting police stations and checkpoints in Al-Anbar and one of four police stations set on fire in Ramadi on this day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to Islamic State of Iraq and the Levant (ISIL).","1","1","1","0","","","1.0","1","0","2","Armed Assault","","","","","3","Police","22","Police Building (headquarters, station, school)","Iraqi Police Service (IPS)","Police Station","95","Iraq","","","","","","","","","","","","","","","","","Islamic State of Iraq and the Levant (ISIL)","","","","","","The specific motive is unknown; however, sources noted that security forces dismantled a Sunni protest camp outside Ramadi on December 30, 2013, angering members of the Sunni community. Sources also noted that a number of prisoners were freed in the attack.","0.0","","","0","-99.0","0.0","0.0","","","","","","","","","","5","Firearms","2","Automatic or Semi-Automatic Rifle","8","Incendiary","18","Arson/Fire","","","","","","","","","Machine guns were used in the attack.","0","0","0","0","0","0","1","3.0","Minor (likely < $1 million)","-99.0","A police station was damaged in this attack.","0.0","","","","","","","","","","","","","","","","","""Iraqi militants free over 100 prisoners,"" The News International, January 1, 2014.","""Sunni militants storm Iraq police stations to free prisoners,"" Reuters UK, January 1, 2014.","""Clashes in Iraq's Ramadi enter third day,"" Focus Bulgaria, January 1, 2014.","START Primary Collection","0","1","0","1","201401010018, 201401010024, 201401010025, 201401010026, 201401010027, 201401010028, 201401010029, 201401010030, 201401010031, 201401010032, 201401010033, 201401010034, 201401010035"
